total words: 10049, frequent words (> 100): 1273, cutoff: 0.002
top words: 20, super top words: 2, cutoff: 0.1
#POLYSEMOUS TERMS
	[ABORTUS, Assessment_Section, Percent_Unit, Androgen_Response_Element, Abortus, Left_Arm]
Principal Creek Indian Nation race	Principal_Creek_Indian_Nation
Rosebud Sioux	Rosebud_Sioux
Rosebud Sioux Indians	Rosebud_Sioux
Rectal Medullary Carcinoma	Rectal_Medullary_Carcinoma
Bile Canaliculus	Bile_Canaliculus
Canaliculi, Bile	Bile_Canaliculus
Canaliculus, Bile	Bile_Canaliculus
Bile Canaliculi	Bile_Canaliculus
Structure of bile canaliculus (body structure)	Bile_Canaliculus
Entire bile canaliculus (body structure)	Bile_Canaliculus
Breast Cancer cT1a TNM Finding	Breast_Cancer_cT1a_TNM_Finding
cT1a	Breast_Cancer_cT1a_TNM_Finding
3q13.2	3q13_2
Benign Neoplasm	Benign_Neoplasm
Benign Tumor of the GI System	Benign_Neoplasm
Neoplasm, Benign	Benign_Neoplasm
GI neoplasm benign	Benign_Neoplasm
Benign Tumors	Benign_Neoplasm
Tumors, Benign	Benign_Neoplasm
Benign Tumor of Digestive System	Benign_Neoplasm
Benign neoplasm of digestive system NOS	Benign_Neoplasm
Benign neoplasm: Respiratory system, unspecified	Benign_Neoplasm
Benign GI System Neoplasm	Benign_Neoplasm
Benign neoplasm, site unspecified	Benign_Neoplasm
Benign Tumor	Benign_Neoplasm
Benign Nervous System Neoplasm	Benign_Neoplasm
Benign Gastrointestinal Neoplasm	Benign_Neoplasm
Benign Gastrointestinal Tumor	Benign_Neoplasm
Benign neoplasm of gastrointestinal tract (disorder)	Benign_Neoplasm
Benign GI System Tumor	Benign_Neoplasm
Benign gastrointestinal neoplasm NOS	Benign_Neoplasm
Benign Neoplasm of the Digestive System	Benign_Neoplasm
Neoplasm, benign (morphologic abnormality)	Benign_Neoplasm
Benign Unclassifiable Tumor	Benign_Neoplasm
Benign Digestive System Neoplasm	Benign_Neoplasm
Benign neoplasm of respiratory system (disorder)	Benign_Neoplasm
Nervous system neoplasm benign NOS	Benign_Neoplasm
Unclassified tumour, benign	Benign_Neoplasm
Tumor, benign	Benign_Neoplasm
Benign Neoplasm of Nervous System	Benign_Neoplasm
Benign neoplasm, unspecified site	Benign_Neoplasm
Benign Tumor of the Gastrointestinal System	Benign_Neoplasm
Nervous System Neoplasm, Benign	Benign_Neoplasm
Benign nervous system neoplasm NOS	Benign_Neoplasm
NEOPLASM, BENIGN	Benign_Neoplasm
Benign neo nerv sys NOS	Benign_Neoplasm
Tumour, benign	Benign_Neoplasm
Benign Neoplasm of the Nervous System	Benign_Neoplasm
Unclassified tumor, benign	Benign_Neoplasm
Benign neoplasm NOS	Benign_Neoplasm
Benign neoplasm: Benign neoplasm of unspecified site	Benign_Neoplasm
Benign GI Tumor	Benign_Neoplasm
Benign Tumor of the Digestive System	Benign_Neoplasm
Benign Nervous System Tumor	Benign_Neoplasm
Benign neoplasm of nervous system, part unspecified	Benign_Neoplasm
Benign Neoplasm of Digestive System	Benign_Neoplasm
Neoplasms, Benign	Benign_Neoplasm
Benign Neoplasm of Gastrointestinal System	Benign_Neoplasm
Benign Gastrointestinal System Tumor	Benign_Neoplasm
Benign neoplastic disease (disorder)	Benign_Neoplasm
Ben neo GI tract NEC/NOS	Benign_Neoplasm
Neoplasm, benign	Benign_Neoplasm
Benign Tumor of Nervous System	Benign_Neoplasm
Benign neoplasm of nervous system NOS	Benign_Neoplasm
Benign neoplasm of nervous system (disorder)	Benign_Neoplasm
Benign neoplasm of respiratory system, unspecified	Benign_Neoplasm
Benign Tumor of Gastrointestinal System	Benign_Neoplasm
Benign Neoplasms	Benign_Neoplasm
Benign neoplasm of gastrointestinal tract NOS	Benign_Neoplasm
Benign Tumor of GI System	Benign_Neoplasm
Benign GI Neoplasm	Benign_Neoplasm
Benign Tumor of the Nervous System	Benign_Neoplasm
Benign Digestive System Tumor	Benign_Neoplasm
Medical Record	MedicalRecord
1p32-q12	1p32-q12
Interstitial Segment of the Fallopian Tube	Interstitial_Segment_of_the_Fallopian_Tube
Secretory Meningioma	Secretory_Meningioma
Meningioma, Secretory	Secretory_Meningioma
Meningiomas, Secretory	Secretory_Meningioma
Secretory meningioma (morphologic abnormality)	Secretory_Meningioma
secretory meningioma (WHO grade I)	Secretory_Meningioma
Secretory Meningiomas	Secretory_Meningioma
Junctional Nevus	Junctional_Nevus
Junctional nevus, NOS	Junctional_Nevus
Junctional Nevus of Skin	Junctional_Nevus
Junctional Skin Nevus	Junctional_Nevus
Intraepidermal Nevus of the Skin	Junctional_Nevus
Junctional melanocytic nevus of skin (disorder)	Junctional_Nevus
Junctional Nevus of the Skin	Junctional_Nevus
Intraepidermal Nevus	Junctional_Nevus
Junctional Melanocytoma	Junctional_Nevus
Junction Nevus	Junctional_Nevus
Junctional nevus (morphologic abnormality)	Junctional_Nevus
Intraepidermal Nevus of Skin	Junctional_Nevus
Junctional Melanocytic Nevus	Junctional_Nevus
Left Main Bronchus	Left_Main_Bronchus
Left main bronchus structure (body structure)	Left_Main_Bronchus
MAIN BRONCHUS, LEFT	Left_Main_Bronchus
Main Bronchus, Left	Left_Main_Bronchus
3q26.3	3q26_3
Nooksack Indians	Nooksack
5 o'clock position	5_o_clock_position
5 o clock	5_o_clock_position
5 o'clock	5_o_clock_position
3q26.1	3q26_1
Hepatocellular Carcinoma	Hepatocellular_Carcinoma
Hepatoma, NOS	Hepatocellular_Carcinoma
Cell Carcinoma, Liver	Hepatocellular_Carcinoma
Carcinoma of Liver Cells	Hepatocellular_Carcinoma
Primary Carcinoma of Liver Cells	Hepatocellular_Carcinoma
Liver Cell Carcinoma, Adult	Hepatocellular_Carcinoma
Liver cell carcinoma (disorder)	Hepatocellular_Carcinoma
Liver Cancer, Adult	Hepatocellular_Carcinoma
Cancer, Adult Liver	Hepatocellular_Carcinoma
Carcinomas, Hepatocellular	Hepatocellular_Carcinoma
Liver Cell Carcinomas	Hepatocellular_Carcinoma
Carcinoma of liver, specified as primary	Hepatocellular_Carcinoma
Adult Liver Cancer	Hepatocellular_Carcinoma
Hepatocellular carcinoma, NOS	Hepatocellular_Carcinoma
Hepatocellular carcinoma (morphologic abnormality)	Hepatocellular_Carcinoma
Carcinoma, Hepatocellular	Hepatocellular_Carcinoma
Liver Cancers, Adult	Hepatocellular_Carcinoma
Hepatocellular Carcinoma of the Mouse	Hepatocellular_Carcinoma
Hepatoma, malignant	Hepatocellular_Carcinoma
Cancers, Adult Liver	Hepatocellular_Carcinoma
Carcinoma, Hepatocellular [Disease/Finding]	Hepatocellular_Carcinoma
LIVER CANCER, HEPATOCARCINOMA	Hepatocellular_Carcinoma
LCC - Liver cell carcinoma	Hepatocellular_Carcinoma
Carcinoma of the Liver Cells	Hepatocellular_Carcinoma
Hepatic Carcinoma	Hepatocellular_Carcinoma
Primary Carcinoma of the Liver Cells	Hepatocellular_Carcinoma
Hepatocellular carcinoma (clinical)	Hepatocellular_Carcinoma
Liver Cell Carcinoma	Hepatocellular_Carcinoma
Malignant neoplasm: Liver cell carcinoma	Hepatocellular_Carcinoma
Liver cell carcinoma (clinical)	Hepatocellular_Carcinoma
Carcinoma, Liver Cell	Hepatocellular_Carcinoma
Liver Cell Cancer (Hepatocellular Carcinoma)	Hepatocellular_Carcinoma
Carcinomas, Liver Cell	Hepatocellular_Carcinoma
Adult Liver Cancers	Hepatocellular_Carcinoma
Hepatocellular Carcinomas	Hepatocellular_Carcinoma
Cell Carcinomas, Liver	Hepatocellular_Carcinoma
HCC - Hepatocellular carcinoma	Hepatocellular_Carcinoma
LCC	Hepatocellular_Carcinoma
HCC	Hepatocellular_Carcinoma
CARCINOMA, HEPATOCELLULAR, MALIGNANT	Hepatocellular_Carcinoma
Middle Mediastinum	Middle_Mediastinum
Middle mediastinum structure (body structure)	Middle_Mediastinum
Mediastinum, Middle	Middle_Mediastinum
MEDIASTINUM, MIDDLE	Middle_Mediastinum
Nelson Lagoon	Nelson_Lagoon
Nelson Lagoon Aleuts	Nelson_Lagoon
9p21-p22	9p21-p22
Salivary Gland Clear Cell Carcinoma, Not Otherwise Specified	Salivary_Gland_Clear_Cell_Carcinoma_Not_Otherwise_Specified
Salivary Gland Clear Cell Carcinoma, NOS	Salivary_Gland_Clear_Cell_Carcinoma_Not_Otherwise_Specified
RaceAmericanIndianKickapoo	Kickapoo
Oklahoma Kiowa	Oklahoma_Kiowa
Oklahoma Kiowa race	Oklahoma_Kiowa
T3 Stage Finding	T3_Stage_Finding
Tumour stage T3	T3_Stage_Finding
T3 category	T3_Stage_Finding
T3	T3_Stage_Finding
T3 stage	T3_Stage_Finding
T3 Stage	T3_Stage_Finding
T3 TNM Finding	T3_Stage_Finding
T3 Primary Tumor Finding	T3_Stage_Finding
T3 Primary Tumor Stage Finding	T3_Stage_Finding
T3 Tumor Finding	T3_Stage_Finding
Tumor stage T3	T3_Stage_Finding
Tumor Stage T3	T3_Stage_Finding
T3 Tumor Stage	T3_Stage_Finding
T3 tumor stage	T3_Stage_Finding
T3 Cancer Stage Finding	T3_Stage_Finding
T3 category (finding)	T3_Stage_Finding
Disseminated Malignant Neoplasm	Disseminated_Malignant_Neoplasm
Widespread metastatic malignant neoplastic disease (disorder)	Disseminated_Malignant_Neoplasm
Malignant neoplasm, disseminated	Disseminated_Malignant_Neoplasm
CA - Disseminated cancer	Disseminated_Malignant_Neoplasm
Ambler Eskimos	Ambler
Cervical Artery	Cervical_Artery
Ascending Aorta Branch	Ascending_Aorta_Branch
Glans Penis	Glans_Penis
Glans Peni	Glans_Penis
Peni, Glans	Glans_Penis
PENIS, GLANS	Glans_Penis
Penis, Glans	Glans_Penis
GP - Glans penis	Glans_Penis
Entire glans penis (body structure)	Glans_Penis
Glans penis structure (body structure)	Glans_Penis
Dorsal Metatarsal Vein	Dorsal_Metatarsal_Vein
Skin of the Trunk	Skin_of_the_Trunk
Skin of Trunk	Skin_of_the_Trunk
Wampanoag Indians	Wampanoag
RaceAmericanIndianWampanoag	Wampanoag
21q22.1	21q22_1
21q22.2	21q22_2
Anal Adenocarcinoma	Anal_Adenocarcinoma
Adenocarcinoma of anus (disorder)	Anal_Adenocarcinoma
Adenocarcinoma of Anus	Anal_Adenocarcinoma
Adenocarcinoma of the Anus	Anal_Adenocarcinoma
21q22.3	21q22_3
5q12	5q12
Brighton Indians	Brighton
5q11	5q11
Cervix Epithelium	Cervix_Epithelium
9q21-q22	9q21-q22
5q13	5q13
Ridge of the Aqueductus Fallopii	Ridge_of_the_Aqueductus_Fallopii
Bile Duct Adenocarcinoma	Bile_Duct_Adenocarcinoma
Bile Duct Cancer	Bile_Duct_Adenocarcinoma
Cancers, Bile Duct	Bile_Duct_Adenocarcinoma
Cancer of Bile Duct	Bile_Duct_Adenocarcinoma
Bile Duct Cancers	Bile_Duct_Adenocarcinoma
Bile Duct Carcinoma	Bile_Duct_Adenocarcinoma
Bile duct cancer NOS	Bile_Duct_Adenocarcinoma
Cancer, Bile Duct	Bile_Duct_Adenocarcinoma
Cancer of the Bile Duct	Bile_Duct_Adenocarcinoma
9p21-p12	9p21-p12
Ekwok Eskimos	Ekwok
Hemispheric Cistern	Hemispheric_Cistern
Vertebral Artery Branch	Vertebral_Artery_Branch
Branch of vertebral artery (body structure)	Vertebral_Artery_Branch
Stony River	Stony_River
Stony River Indians	Stony_River
1q23.3	1q23_3
Cerebral Sulcus	Cerebral_Sulcus
Cerebral sulcus (body structure)	Cerebral_Sulcus
1q23.2	1q23_2
Equivocal (qualifier value)	Equivocal
Gray Matter	Gray_Matter
Grey Matter	Gray_Matter
Matter, Gray	Gray_Matter
Gray Matters	Gray_Matter
Matter, Grey	Gray_Matter
Grey Matters	Gray_Matter
Matters, Gray	Gray_Matter
Matters, Grey	Gray_Matter
2:30 o'clock position	2_30_o_clock_position
2:30 o clock	2_30_o_clock_position
2:30 o'clock	2_30_o_clock_position
5q21	5q21
Prostate Carcinoma	Prostate_Carcinoma
Prostate cancer, NOS	Prostate_Carcinoma
CA - Cancer of prostate	Prostate_Carcinoma
Cancer, Prostate	Prostate_Carcinoma
carcinoma, prostatic	Prostate_Carcinoma
PROSTATE, CARCINOMA	Prostate_Carcinoma
Prostate cancer NOS	Prostate_Carcinoma
Cancer of Prostate	Prostate_Carcinoma
CA - Carcinoma of prostate	Prostate_Carcinoma
Cancer of the Prostate	Prostate_Carcinoma
Prostate Cancer	Prostate_Carcinoma
Carcinoma of Prostate	Prostate_Carcinoma
Prostate Cancers	Prostate_Carcinoma
PROSTATIC CANCER, CARCINOMA	Prostate_Carcinoma
Cancers, Prostatic	Prostate_Carcinoma
Prostatic Cancers	Prostate_Carcinoma
Cancers, Prostate	Prostate_Carcinoma
Carcinoma of the Prostate	Prostate_Carcinoma
Cancer, Prostatic	Prostate_Carcinoma
Carcinoma of prostate (disorder)	Prostate_Carcinoma
Prostatic Cancer	Prostate_Carcinoma
5q23	5q23
Distal Muscle	Distal_Muscle
Lymphatic Vessel	Lymphatic_Vessel
VESSEL, LYMPHATIC	Lymphatic_Vessel
Vessels, Lymphatic	Lymphatic_Vessel
Vessel, Lymph	Lymphatic_Vessel
Entire lymphatic vessel (body structure)	Lymphatic_Vessel
Disorder of lymphatic vessel (disorder)	Lymphatic_Vessel
Lymphatic Vessels	Lymphatic_Vessel
Structure of lymphatic vessel (body structure)	Lymphatic_Vessel
Vessel, Lymphatic	Lymphatic_Vessel
Disease of lymphatic vessels NOS	Lymphatic_Vessel
Lymphatic Vessel Diseases	Lymphatic_Vessel
Anterior Abdominal Wall Muscle	Anterior_Abdominal_Wall_Muscle
Entire anterior muscle of abdomen (body structure)	Anterior_Abdominal_Wall_Muscle
Structure of anterior muscle of abdomen (body structure)	Anterior_Abdominal_Wall_Muscle
Inferior Parietal Convolution	Inferior_Parietal_Convolution
Axillary Artery Branch	Axillary_Artery_Branch
Branch of axillary artery (body structure)	Axillary_Artery_Branch
Dorsal Root of the Spinal Nerve	Dorsal_Root_of_the_Spinal_Nerve
5q32	5q32
5q31	5q31
Chromosome 5q31	5q31
chromosome 5q31	5q31
5q34	5q34
5q35	5q35
CA3 Field of the Cornu Ammonis	CA3_Field_of_the_Cornu_Ammonis
Adenoid Cystic Carcinoma	Adenoid_Cystic_Carcinoma
Adenocarcinoma, cylindroid	Adenoid_Cystic_Carcinoma
Carcinomas, Adenocystic	Adenoid_Cystic_Carcinoma
Carcinoma, Adenoid Cystic [Disease/Finding]	Adenoid_Cystic_Carcinoma
Cystic Carcinomas, Adenoid	Adenoid_Cystic_Carcinoma
Carcinoma, Adenoid Cystic	Adenoid_Cystic_Carcinoma
Adenoid cystic carcinoma (morphologic abnormality)	Adenoid_Cystic_Carcinoma
Carcinoma, Adenocystic	Adenoid_Cystic_Carcinoma
Adenoid Cystic Carcinomas	Adenoid_Cystic_Carcinoma
Adenocystic Carcinomas	Adenoid_Cystic_Carcinoma
Cylindroma (morphologic abnormality)	Adenoid_Cystic_Carcinoma
Cylindroma (except Cylindroma of skin, M-82000)	Adenoid_Cystic_Carcinoma
Cylindroid Adenocarcinoma	Adenoid_Cystic_Carcinoma
Carcinomas, Adenoid Cystic	Adenoid_Cystic_Carcinoma
Cystic Carcinoma, Adenoid	Adenoid_Cystic_Carcinoma
Cylindroma, NOS	Adenoid_Cystic_Carcinoma
Adenocystic Carcinoma	Adenoid_Cystic_Carcinoma
Synapse structure (body structure)	Synapse
Carpal Joint	Carpal_Joint
Carpal Joints	Carpal_Joint
Joint structure of wrist region (body structure)	Carpal_Joint
Structure of intercarpal joint (body structure)	Carpal_Joint
JOINT, CARPUS	Carpal_Joint
Intercarpal Joint	Carpal_Joint
Joints, Intercarpal	Carpal_Joint
Intercarpal Joints	Carpal_Joint
Joint, Carpal	Carpal_Joint
Joint, Intercarpal	Carpal_Joint
Joints, Carpal	Carpal_Joint
1q24.2	1q24_2
1q24.3	1q24_3
Internal Mammary Lymph Node	Internal_Mammary_Lymph_Node
Entire internal mammary lymph node (body structure)	Internal_Mammary_Lymph_Node
Structure of parasternal lymph node (body structure)	Internal_Mammary_Lymph_Node
LYMPH NODE, MAMMARY GLAND	Internal_Mammary_Lymph_Node
AC-T-T Regimen	AC_T_T_Regimen
sequential AC/Taxol-Trastuzumab regimen	AC_T_T_Regimen
Sequential AC/Taxol-Trastuzumab Regimen	AC_T_T_Regimen
AC-T-T regimen	AC_T_T_Regimen
AC-TH regimen	AC_T_T_Regimen
Uterine Corpus Endometrial Stromal Sarcoma	Uterine_Corpus_Endometrial_Stromal_Sarcoma
Posterior Pole of the Lens	Posterior_Pole_of_the_Lens
Colorectal Mucinous Adenocarcinoma	Colorectal_Mucinous_Adenocarcinoma
Right Thigh	Right_Thigh
RT	Right_Thigh
Entire right thigh (body structure)	Right_Thigh
Structure of right thigh (body structure)	Right_Thigh
Lateral Infratentorial Cistern	Lateral_Infratentorial_Cistern
Inner Ear	Inner_Ear
Disorder of inner ear (disorder)	Inner_Ear
IE - Inner ear	Inner_Ear
Inner Ear Disorder	Inner_Ear
Internal Ear	Inner_Ear
Entire inner ear (body structure)	Inner_Ear
Vestibular Disorder	Inner_Ear
Ears, Internal	Inner_Ear
EAR, INNER	Inner_Ear
Ear, Inner	Inner_Ear
Ear, Internal	Inner_Ear
Inner ear disorder NOS	Inner_Ear
Internal Ears	Inner_Ear
Disease of inner ear, unspecified	Inner_Ear
labyrinth (ear)	Inner_Ear
Labyrinth structure (body structure)	Inner_Ear
Inner ear structure (body structure)	Inner_Ear
Internal Ear Disorder	Inner_Ear
Unspecified disease of inner ear, unspecified ear	Inner_Ear
Diseases of inner ear (H80-H83)	Inner_Ear
Inner Ears	Inner_Ear
Ears, Inner	Inner_Ear
Radiation-Related Angiosarcoma	Radiation_Related_Angiosarcoma
Radiation-Induced Angiosarcoma	Radiation_Related_Angiosarcoma
Cutaneous Leiomyosarcoma	Cutaneous_Leiomyosarcoma
Cutaneous leiomyosarcoma (disorder)	Cutaneous_Leiomyosarcoma
Leiomyosarcoma of Skin	Cutaneous_Leiomyosarcoma
Leiomyosarcoma of the Skin	Cutaneous_Leiomyosarcoma
Skin Leiomyosarcoma	Cutaneous_Leiomyosarcoma
Right Ventricular Branch of Right Coronary Artery	Right_Ventricular_Branch_of_Right_Coronary_Artery
Right Ventricular Branch	Right_Ventricular_Branch_of_Right_Coronary_Artery
Angiomatous Meningioma	Angiomatous_Meningioma
Angiomatous meningioma (morphologic abnormality)	Angiomatous_Meningioma
Meningiomas, Angiomatous	Angiomatous_Meningioma
angiomatous meningioma (WHO grade I)	Angiomatous_Meningioma
Angiomatous Meningiomas	Angiomatous_Meningioma
Meningioma, Angiomatous	Angiomatous_Meningioma
Peripheral Primitive Neuroectodermal Tumor of Soft Tissues	Peripheral_Primitive_Neuroectodermal_Tumor_of_Soft_Tissues
Peripheral Neuroepithelioma of Soft Tissues	Peripheral_Primitive_Neuroectodermal_Tumor_of_Soft_Tissues
Peripheral Neuroepithelioma of the Soft Tissues	Peripheral_Primitive_Neuroectodermal_Tumor_of_Soft_Tissues
Peripheral Neuroectodermal Tumor of Soft Tissues	Peripheral_Primitive_Neuroectodermal_Tumor_of_Soft_Tissues
Peripheral Neuroectodermal Tumor of the Soft Tissues	Peripheral_Primitive_Neuroectodermal_Tumor_of_Soft_Tissues
Right Atrial Appendage	Right_Atrial_Appendage
RAA - Right atrial appendage	Right_Atrial_Appendage
Entire right auricular appendage (body structure)	Right_Atrial_Appendage
HEART, RIGHT ATRIAL APPENDAGE	Right_Atrial_Appendage
Structure of right auricular appendage (body structure)	Right_Atrial_Appendage
1p	1p
Chromosome 1 Short Arm	1p
Chromosome 1 Proximal Arm	1p
Chromosome 1p	1p
chromosome 1p	1p
Superficial Vein	Superficial_Vein
Structure of superficial vein (body structure)	Superficial_Vein
Entire superficial vein (body structure)	Superficial_Vein
1q	1q
Chromosome 1 Long Arm	1q
Chromosome 1q	1q
chromosome 1q	1q
Chromosome 1 Distal Arm	1q
Internal Mammary Artery	Internal_Mammary_Artery
Structure of internal thoracic artery (body structure)	Internal_Mammary_Artery
Arteries, Internal Thoracic	Internal_Mammary_Artery
Artery, Internal Thoracic	Internal_Mammary_Artery
ARTERY, MAMMARY	Internal_Mammary_Artery
Internal Mammary Arteries	Internal_Mammary_Artery
Internal Thoracic Artery	Internal_Mammary_Artery
Internal Thoracic Arteries	Internal_Mammary_Artery
Artery, Internal Mammary	Internal_Mammary_Artery
Arteries, Internal Mammary	Internal_Mammary_Artery
Thoracic Artery, Internal	Internal_Mammary_Artery
Mammary Artery, Internal	Internal_Mammary_Artery
Thoracic Arteries, Internal	Internal_Mammary_Artery
Mammary Arteries, Internal	Internal_Mammary_Artery
Saxman Indians	Saxman
Fiber-Optic Spectroscopy	Fiber_Optic_Spectroscopy
Cricothyroid Ligament	Cricothyroid_Ligament
Entire cricothyroid ligament (body structure)	Cricothyroid_Ligament
Structure of cricothyroid ligament (body structure)	Cricothyroid_Ligament
Temporal Lobe	Temporal_Lobe
Temporal Regions	Temporal_Lobe
Cortex, Temporal	Temporal_Lobe
Temporal lobe structure (body structure)	Temporal_Lobe
Temporal Cortices	Temporal_Lobe
Cortices, Temporal	Temporal_Lobe
Region, Temporal	Temporal_Lobe
Lobes, Temporal	Temporal_Lobe
Temporal Cortex	Temporal_Lobe
Lobe, Temporal	Temporal_Lobe
Entire temporal lobe (body structure)	Temporal_Lobe
Regions, Temporal	Temporal_Lobe
Temporal Region	Temporal_Lobe
Temporal Lobes	Temporal_Lobe
Sacral Spinal Nerve Root	Sacral_Spinal_Nerve_Root
Sacral Spinal Nerve Roots	Sacral_Spinal_Nerve_Root
Entire sacral spinal nerve root (body structure)	Sacral_Spinal_Nerve_Root
Sacral spinal nerve root structure (body structure)	Sacral_Spinal_Nerve_Root
Circumflex Artery and its Branches	Circumflex_Artery_and_its_Branches
CIRCUMFLEX, OBTUSE MARGINALS, LEFT POSTEROLETERAL AND LEFT POSTERIOR DESCENDING ARTERY BRANCHES	Circumflex_Artery_and_its_Branches
Circumflex, Obtuse Marginals, Left Posteroleteral and Left Posterior Descending Artery Branches	Circumflex_Artery_and_its_Branches
Intraoperative Ultrasound	Intraoperative_Ultrasound
intraoperative ultrasound (procedure)	Intraoperative_Ultrasound
IOUS	Intraoperative_Ultrasound
Burns Paiute	Burns_Paiute
Burns Paiute race	Burns_Paiute
Membrane of the Lysosome	Membrane_of_the_Lysosome
Greater Tuberosity	Greater_Tuberosity
Inferolateral Surface of the Prostate	Inferolateral_Surface_of_the_Prostate
Inferolateral Surface of Human Prostate	Inferolateral_Surface_of_the_Prostate
2p	2p
Chromosome 2 Short Arm	2p
Chromosome 2 Proximal Arm	2p
Right Hepatic Duct	Right_Hepatic_Duct
Structure of right hepatic duct (body structure)	Right_Hepatic_Duct
Entire right hepatic duct (body structure)	Right_Hepatic_Duct
2q	2q
Chromosome 2 Long Arm	2q
Chromosome 2 Distal Arm	2q
BONE, ULNA	Ulna
Bone structure of ulna (body structure)	Ulna
ULNA	Ulna
Ulna Bone	Ulna
Entire ulna (body structure)	Ulna
Inner Nuclear Layer	Inner_Nuclear_Layer
INL - Inner nuclear layer	Inner_Nuclear_Layer
Structure of inner nuclear layer of retina (body structure)	Inner_Nuclear_Layer
Retromolar Trigone	Retromolar_Trigone
Structure of retromolar area of mouth (body structure)	Retromolar_Trigone
Tonsil Part	Tonsil_Part
Suquamish Indians	Suquamish
Skeletal System Part	Skeletal_System_Part
